id;x;y;gray;density
79;323.375911;546.307821;0;1.00000000
80;587.162775;902.152249;0;1.00000000
81;388.035911;122.258423;0;1.00000000
82;235.394776;238.395059;0;1.00000000
83;619.112729;579.609627;0;1.00000000
84;469.225708;460.202226;0;1.00000000
85;181.504249;665.539854;0;1.00000000
86;450.654570;746.249676;0;1.00000000
87;158.203619;199.141385;1;0.99022489
88;571.850555;599.592809;0;1.00000000
89;334.497106;311.158654;0;1.00000000
90;339.678285;474.328131;0;1.00000000
91;510.447458;96.218276;1;0.99022489
92;296.948629;893.660403;0;1.00000000
93;500.619672;1119.102180;0;1.00000000
94;341.084041;501.097239;0;1.00000000
95;563.054850;198.297121;4;0.96124447
96;132.036783;323.937223;0;1.00000000
97;639.789793;308.040233;0;1.00000000
98;413.083587;1025.468632;0;1.00000000
99;124.184081;527.499235;0;1.00000000
100;417.011913;1047.284132;0;1.00000000
101;39.567597;1060.513525;0;1.00000000
102;234.090335;658.402394;0;1.00000000
103;3.020151;383.000464;0;1.00000000
104;285.842017;489.449008;0;1.00000000
105;666.459580;230.500540;0;1.00000000
106;439.959629;908.919871;0;1.00000000
107;128.665016;375.160458;0;1.00000000
108;638.748655;1018.515201;0;1.00000000
109;25.711504;1019.650531;0;1.00000000
110;458.432490;826.685960;0;1.00000000
111;164.330834;567.261398;0;1.00000000
112;150.156522;211.671140;0;1.00000000
113;389.290919;606.871141;0;1.00000000
114;367.502836;207.572837;0;1.00000000
115;481.732739;98.008692;0;1.00000000
116;140.849949;770.650281;0;1.00000000
117;553.392286;1070.149707;0;1.00000000
118;509.888616;1094.056079;0;1.00000000
119;471.286433;778.069001;0;1.00000000
120;478.679650;615.280062;0;1.00000000
121;376.188600;1017.296017;0;1.00000000
122;136.642023;133.332712;0;1.00000000
123;439.838893;933.452677;0;1.00000000
124;264.456360;1154.388416;0;1.00000000
125;372.874238;967.378580;0;1.00000000
126;94.389409;294.806548;0;1.00000000
127;482.046551;68.699573;0;1.00000000
128;206.688136;946.574347;0;1.00000000
129;500.348804;993.185856;15;0.85936498
130;500.475047;1035.138592;4;0.96124447
131;422.647922;212.819994;0;1.00000000
132;458.300094;719.907162;0;1.00000000
133;272.138325;737.694056;0;1.00000000
134;438.350578;50.235055;0;1.00000000
135;373.185355;628.240726;0;1.00000000
136;102.724478;313.511054;0;1.00000000
137;79.562694;962.923702;0;1.00000000
138;17.483033;828.021399;0;1.00000000
139;39.290440;1007.351377;0;1.00000000
140;246.976896;850.601180;0;1.00000000
141;664.772305;796.689500;1;0.99022489
142;332.881456;668.961686;0;1.00000000
143;375.118714;662.213108;0;1.00000000
144;489.947826;385.113678;0;1.00000000
145;362.847703;815.111888;0;1.00000000
146;2.744797;430.581559;0;1.00000000
147;521.448341;279.004142;0;1.00000000
148;87.834618;652.627800;6;0.94221045
149;377.697500;672.602758;0;1.00000000
150;618.820657;28.697262;0;1.00000000
151;150.708267;1001.834408;0;1.00000000
152;27.518893;848.266789;0;1.00000000
153;545.745473;173.637451;0;1.00000000
154;369.474486;122.704777;0;1.00000000
155;458.883993;374.037329;0;1.00000000
156;641.309975;282.821678;0;1.00000000
157;40.937796;263.507680;2;0.98050735
158;381.519367;1114.136595;0;1.00000000
159;549.317223;983.609430;0;1.00000000
160;421.632050;223.746095;0;1.00000000
161;227.074027;561.605422;0;1.00000000
162;130.206648;887.037047;0;1.00000000
163;540.905449;334.070299;0;1.00000000
164;350.819483;509.526214;0;1.00000000
165;340.080891;985.952669;0;1.00000000
166;341.191648;886.078329;1;0.99022489
167;471.338892;797.002592;0;1.00000000
168;417.221728;292.197530;2;0.98050735
169;464.099193;742.157740;0;1.00000000
170;120.067082;213.690792;0;1.00000000
171;347.982708;153.805754;0;1.00000000
172;234.613665;716.641240;0;1.00000000
173;14.604681;583.112510;0;1.00000000
174;276.960425;407.230828;0;1.00000000
175;650.413767;994.616041;0;1.00000000
176;588.554014;223.377568;0;1.00000000
177;609.264254;1111.679073;0;1.00000000
178;304.349934;515.919991;0;1.00000000
179;342.957237;1130.292392;0;1.00000000
180;386.549122;1005.665697;0;1.00000000
181;510.063611;973.126903;0;1.00000000
182;12.658092;1092.231548;37;0.67575736
183;73.007173;328.295046;0;1.00000000
184;332.375338;904.796188;0;1.00000000
185;301.453354;191.139032;0;1.00000000
186;483.521394;624.748911;0;1.00000000
187;435.477015;1029.063175;187;0.03672162
188;260.486319;564.351424;0;1.00000000
189;134.262308;1133.920223;0;1.00000000
190;16.806385;187.615798;0;1.00000000
191;495.613537;597.489836;0;1.00000000
192;576.319073;721.277687;0;1.00000000
193;4.432968;166.955456;0;1.00000000
194;476.187999;569.562822;0;1.00000000
195;418.038448;889.971606;0;1.00000000
196;139.469236;99.663757;0;1.00000000
197;28.393655;811.200069;0;1.00000000
198;361.955548;131.853498;0;1.00000000
199;381.401865;969.398913;4;0.96124447
200;438.882416;723.385607;0;1.00000000
201;83.965054;371.703587;0;1.00000000
202;130.874083;37.749371;0;1.00000000
203;111.389568;202.628669;0;1.00000000
204;35.234623;115.520191;0;1.00000000
205;499.726735;1193.468072;0;1.00000000
206;139.402765;368.707962;0;1.00000000
207;454.295323;314.327473;55;0.54478424
208;435.164217;92.511398;3;0.97084724
209;6.092505;895.367959;0;1.00000000
210;385.669385;747.245063;0;1.00000000
211;467.023531;408.563216;0;1.00000000
212;183.498755;36.602988;0;1.00000000
213;565.683942;1175.219920;4;0.96124447
214;470.367514;1115.338759;0;1.00000000
